Participant Public ID,Sex,Sex-quantised,Age,IMD Score,Crime Rank,CFC Q1,CFC Q1-quantised,CFC Q2,CFC Q2-quantised,CFC Q3,CFC Q3-quantised,Q3 Reversed,CFC Q4,CFC Q4-quantised,Q4 Reversed,CFC Q5,CFC Q5-quantised,Q5 Reversed,CFC Q6,CFC Q6-quantised,CFC Q7,CFC Q7-quantised,CFC Q8,CFC Q8-quantised,CFC Q9,CFC Q9-quantised,Q9 Reversed,CFC Q10,CFC Q10-quantised,Q10 Reversed,CFC Q11,CFC Q11-quantised,Q11 Reversed,CFC Q12,CFC Q12-quantised,Q12 Reversed,CFC Mean Score,PGG Round 1,PGG Round 2,PGG Round 3,PGG Round 4,PGG Round 5,PGG Mean Contribution
1634,Female,2,33,6300,14579,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
3838,Female,2,23,16989,10309,4,4,3,3,1,1,5,2,2,4,4,4,2,3,3,4,4,2,2,2,2,4,2,2,4,1,1,5,3,3,3,2.583333333,1,9,1,1,9,4.2
3961,Male,1,21,32540,29044,3,3,3,3,3,3,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,1,6,1.8
4041,Male,1,22,6697,6270,5,5,3,3,5,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,0,1.4
3830,Female,2,34,19017,13872,5,5,4,4,2,2,4,2,2,4,4,4,2,3,3,4,4,4,4,2,2,4,3,3,3,2,2,4,2,2,4,2.75,1,5,5,5,5,4.2
4031,Female,2,20,22384,15978,4,4,4,4,3,3,3,2,2,4,3,3,3,5,5,5,5,3,3,1,1,5,2,2,4,2,2,4,2,2,4,2.5,6,5,5,4,7,5.4
3890,Female,2,18,11562,10325,3,3,4,4,1,1,5,2,2,4,4,4,2,4,4,4,4,4,4,1,1,5,3,3,3,2,2,4,4,4,2,3,1,2,4,5,7,3.8
3896,Female,2,20,29031,32190,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,4,2.75,5,5,7,5,2,4.8
3909,Male,1,19,9693,18029,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,6,4,3,2,5
4011,Female,2,20,24850,14205,4,4,5,5,2,2,4,3,3,3,4,4,2,5,5,3,3,4,4,5,5,1,1,1,5,2,2,4,4,4,2,3.166666667,5,6,9,9,2,6.2
3680,Female,2,22,23246,8559,3,3,4,4,3,3,3,2,2,4,2,2,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,4,2.833333333,10,2,2,3,6,4.6
4044,Female,2,19,11985,8479,3,3,4,4,2,2,4,5,5,1,5,5,1,5,5,5,5,3,3,4,4,2,4,4,2,4,4,2,2,2,4,3.083333333,10,7,2,1,10,6
3841,Female,2,21,8142,13900,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
4004,Female,2,45,25840,13707,4,4,5,5,3,3,3,2,2,4,5,5,1,5,5,5,5,4,4,2,2,4,2,2,4,2,2,4,4,4,2,3,7,6,5,5,5,5.6
3894,Female,2,34,25046,16549,2,2,3,3,2,2,4,2,2,4,2,2,4,2,2,2,2,2,2,2,2,4,2,2,4,2,2,4,2,2,4,2.5,10,2,10,10,10,8.4
3828,Male,1,18,19264,2914,3,3,2,2,5,5,1,5,5,1,2,2,4,4,4,5,5,3,3,2,2,4,3,3,3,4,4,2,5,5,1,3.333333333,5,3,8,10,7,6.6
3812,Female,2,20,6,91,3,3,3,3,4,4,2,4,4,2,4,4,2,3,3,4,4,3,3,4,4,2,3,3,3,4,4,2,3,3,3,3.166666667,5,6,10,10,10,8.2
3976,Female,2,19,26370,19637,5,5,4,4,2,2,4,2,2,4,4,4,2,3,3,3,3,4,4,3,3,3,3,3,3,2,2,4,3,3,3,3,5,5,5,10,8,6.6
3997,Female,2,39,10638,5577,4,4,2,2,2,2,4,2,2,4,4,4,2,2,2,4,4,3,3,2,2,4,3,3,3,2,2,4,2,2,4,2.666666667,10,2,10,10,10,8.4
3935,Female,2,26,26742,16208,4,4,3,3,3,3,3,4,4,2,2,2,4,2,2,2,2,2,2,3,3,3,3,3,3,4,4,2,2,2,4,2.833333333,5,7,10,7,8,7.4
3835,Female,2,20,,,4,4,4,4,2,2,4,2,2,4,2,2,4,3,3,5,5,4,4,2,2,4,2,2,4,2,2,4,3,3,3,2.833333333,5,2,7,2,2,3.6
3881,Female,2,18,7833,4929,2,2,3,3,1,1,5,3,3,3,2,2,4,3,3,2,2,3,3,2,2,4,2,2,4,4,4,2,3,3,3,2.916666667,1,5,10,9,7,6.4
3862,Female,2,19,7386,8001,4,4,4,4,2,2,4,3,3,3,4,4,2,2,2,4,4,2,2,4,4,2,2,2,4,4,4,2,3,3,3,3,2,2,5,5,2,3.2
3924,Female,2,36,20056,29179,4,4,4,4,2,2,4,2,2,4,4,4,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,4,4,4,2,2.833333333,3,3,5,5,5,4.2
4016,Male,1,18,16447,14223,4,4,3,3,4,4,2,4,4,2,4,4,2,3,3,5,5,3,3,2,2,4,2,2,4,3,3,3,3,3,3,2.833333333,0,0,5,2,2,1.8
3908,Female,2,19,5375,12438,1,1,1,1,5,5,1,4,4,2,3,3,3,2,2,3,3,5,5,1,1,5,5,5,1,3,3,3,4,4,2,3.333333333,10,2,10,10,10,8.4
3992,Female,2,19,14567,18198,5,5,3,3,2,2,4,3,3,3,5,5,1,4,4,5,5,4,4,3,3,3,2,2,4,2,2,4,3,3,3,2.916666667,4,5,10,7,10,7.2
3855,Female,2,18,25963,20916,4,4,4,4,4,4,2,3,3,3,4,4,2,4,4,5,5,4,4,2,2,4,2,2,4,2,2,4,3,3,3,2.833333333,4,6,9,10,10,7.8
3815,Female,2,20,6791,1685,4,4,4,4,4,4,2,2,2,4,1,1,5,5,5,4,4,5,5,1,1,5,1,1,5,2,2,4,1,1,5,2.416666667,10,0,1,10,10,6.2
3866,Female,2,19,15297,20301,3,3,4,4,4,4,2,3,3,3,2,2,4,4,4,4,4,4,4,2,2,4,2,2,4,2,2,4,3,3,3,2.833333333,5,8,7,6,1,5.4
4021,Female,2,18,,,3,3,2,2,4,4,2,4,4,2,2,2,4,4,4,4,4,4,4,2,2,4,3,3,3,3,3,3,3,3,3,3,1,5,2,3,4,3
3807,Female,2,18,4849,4561,2,2,2,2,5,5,1,3,3,3,4,4,2,4,4,4,4,4,4,2,2,4,4,4,2,3,3,3,4,4,2,3.25,10,10,10,10,10,10
3954,Female,2,19,8107,15636,3,3,3,3,3,3,3,4,4,2,4,4,2,2,2,3,3,3,3,3,3,3,4,4,2,4,4,2,4,4,2,3.333333333,7,8,10,8,7,8
3952,Female,2,20,14241,6325,2,2,3,3,3,3,3,2,2,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,9,10,10,10,8.6
3854,Female,2,20,14898,10621,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,10,3.4
3920,Female,2,18,12698,15565,4,4,3,3,4,4,2,2,2,4,3,3,3,4,4,4,4,2,2,1,1,5,2,2,4,2,2,4,2,2,4,2.416666667,9,10,6,10,10,9
3964,Female,2,20,9768,12110,3,3,3,3,3,3,3,4,4,2,4,4,2,4,4,4,4,4,4,3,3,3,3,3,3,4,4,2,3,3,3,3.166666667,5,9,7,9,10,8
3983,Female,2,18,2736,2606,4,4,3,3,2,2,4,3,3,3,3,3,3,4,4,3,3,4,4,2,2,4,2,2,4,4,4,2,4,4,2,3.166666667,5,2,6,5,6,4.8
3810,Female,2,20,5287,14379,4,4,3,3,3,3,3,4,4,2,4,4,2,4,4,4,4,3,3,4,4,2,3,3,3,3,3,3,4,4,2,3.25,5,6,5,1,1,3.6
3905,Female,2,19,5074,4854,3,3,2,2,2,2,4,3,3,3,3,3,3,3,3,2,2,4,4,3,3,3,3,3,3,2,2,4,3,3,3,3,3,4,10,10,10,7.4
4039,Female,2,19,7905,2684,5,5,3,3,2,2,4,2,2,4,3,3,3,3,3,4,4,3,3,2,2,4,2,2,4,2,2,4,3,3,3,2.75,5,4,4,10,9,6.4
4018,Female,2,27,9038,2461,1,1,3,3,5,5,1,4,4,2,1,1,5,1,1,1,1,2,2,2,2,4,1,1,5,2,2,4,2,2,4,2.416666667,0,1,2,3,4,2
3929,Male,1,23,19485,19488,4,4,2,2,2,2,4,3,3,3,3,3,3,2,2,4,4,4,4,3,3,3,2,2,4,2,2,4,3,3,3,2.916666667,7,5,9,7,9,7.4
3877,Female,2,19,13193,7350,4,4,3,3,3,3,3,4,4,2,4,4,2,3,3,4,4,4,4,3,3,3,3,3,3,4,4,2,3,3,3,3.166666667,10,0,4,8,5,5.4
4003,Female,2,22,17745,12727,4,4,4,4,2,2,4,2,2,4,5,5,1,4,4,5,5,4,4,2,2,4,2,2,4,2,2,4,4,4,2,3,10,10,10,10,10,10
3991,Female,2,18,20521,18111,5,5,2,2,3,3,3,3,3,3,4,4,2,2,2,4,4,3,3,2,2,4,2,2,4,3,3,3,3,3,3,2.833333333,10,8,9,10,9,9.2
3858,Female,2,21,9213,16537,2,2,2,2,4,4,2,3,3,3,4,4,2,5,5,5,5,3,3,1,1,5,1,1,5,2,2,4,3,3,3,2.583333333,0,4,6,6,6,4.4
3848,Female,2,20,26185,20483,3,3,3,3,3,3,3,3,3,3,5,5,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,10,9,5,6.8
3873,Female,2,20,19264,2914,2,2,2,2,3,3,3,3,3,3,4,4,2,4,4,4,4,4,4,2,2,4,2,2,4,3,3,3,3,3,3,2.916666667,10,8,8,10,9,9
3950,Female,2,20,14397,11511,3,3,4,4,2,2,4,3,3,3,4,4,2,4,4,3,3,4,4,2,2,4,2,2,4,2,2,4,2,2,4,2.666666667,5,8,8,10,8,7.8
3802,Female,2,19,4814,18074,4,4,2,2,2,2,4,2,2,4,2,2,4,4,4,4,4,3,3,1,1,5,1,1,5,1,1,5,2,2,4,2.333333333,5,6,7,9,7,6.8
3915,Female,2,29,7947,9837,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,2,3,3,3,3,3,3,3.083333333,10,1,5,10,10,7.2
3957,Female,2,20,7760,5428,5,5,4,4,1,1,5,1,1,5,2,2,4,4,4,5,5,2,2,1,1,5,1,1,5,1,1,5,2,2,4,2.25,5,2,3,7,3,4
3986,Female,2,20,19881,23310,5,5,4,4,1,1,5,2,2,4,4,4,2,5,5,5,5,3,3,1,1,5,1,1,5,1,1,5,3,3,3,2.5,7,3,6,5,5,5.2
3681,Female,2,22,2954,3617,4,4,3,3,3,3,3,3,3,3,4,4,2,3,3,4,4,3,3,2,2,4,2,2,4,2,2,4,3,3,3,2.75,6,2,5,8,3,4.8
3914,Male,1,24,6908,15902,4,4,3,3,2,2,4,3,3,3,3,3,3,2,2,3,3,3,3,2,2,4,2,2,4,2,2,4,3,3,3,2.75,10,10,10,10,10,10
3959,Female,2,19,,,5,5,5,5,3,3,3,2,2,4,2,2,4,5,5,4,4,4,4,3,3,3,2,2,4,2,2,4,4,4,2,3.083333333,5,8,9,9,5,7.2
3507,Female,2,22,18293,12038,4,4,3,3,2,2,4,1,1,5,3,3,3,2,2,4,4,3,3,2,2,4,1,1,5,3,3,3,2,2,4,2.583333333,5,2,3,5,2,3.4
3824,Female,2,19,23657,17122,5,5,1,1,1,1,5,1,1,5,5,5,1,5,5,5,5,5,5,1,1,5,5,5,1,1,1,5,1,1,5,2.666666667,3,6,9,7,1,5.2
3949,Female,2,19,12549,25293,4,4,3,3,2,2,4,3,3,3,3,3,3,3,3,4,4,3,3,2,2,4,2,2,4,3,3,3,2,2,4,2.666666667,10,10,10,10,10,10
3711,Male,1,30,3945,345,3,3,3,3,2,2,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,2,2,4,2,2,4,3,3,3,2.916666667,10,9,6,10,10,9
3886,Female,2,19,,,4,4,3,3,2,2,4,2,2,4,3,3,3,4,4,5,5,5,5,4,4,2,2,2,4,2,2,4,2,2,4,2.916666667,7,5,10,10,10,8.4
3956,Male,1,19,7760,5428,4,4,4,4,2,2,4,4,4,2,4,4,2,4,4,5,5,3,3,1,1,5,2,2,4,4,4,2,3,3,3,2.833333333,5,5,5,5,5,5
4026,Male,1,26,2163,1503,5,5,4,4,2,2,4,2,2,4,4,4,2,5,5,4,4,3,3,1,1,5,1,1,5,2,2,4,3,3,3,2.583333333,5,7,9,9,5,7
4037,Female,2,37,30605,29534,4,4,4,4,4,4,2,2,2,4,4,4,2,4,4,4,4,4,4,2,2,4,2,2,4,2,2,4,2,2,4,2.666666667,10,10,10,10,10,10
3849,Female,2,20,,,2,2,2,2,2,2,4,1,1,5,1,1,5,1,1,1,1,3,3,1,1,5,3,3,3,3,3,3,2,2,4,2.666666667,6,5,10,10,8,7.8
4073,Female,2,19,12317,13715,4,4,3,3,3,3,3,4,4,2,5,5,1,2,2,5,5,1,1,2,2,4,4,4,2,4,4,2,4,4,2,3.083333333,5,0,2,7,8,4.4
3973,Female,2,20,23646,19355,4,4,3,3,1,1,5,3,3,3,4,4,2,4,4,4,4,3,3,2,2,4,1,1,5,2,2,4,3,3,3,2.666666667,10,10,10,10,1,8.2
3800,Male,1,18,22958,22446,4,4,3,3,4,4,2,4,4,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,4,2,2,4,2,2,4,2.833333333,8,3,1,5,10,5.4
3875,Female,2,19,9114,3016,4,4,2,2,1,1,5,2,2,4,4,4,2,3,3,5,5,4,4,1,1,5,2,2,4,2,2,4,3,3,3,2.75,6,10,10,10,10,9.2
4015,Female,2,18,7176,11053,4,4,3,3,3,3,3,4,4,2,4,4,2,3,3,3,3,3,3,3,3,3,2,2,4,4,4,2,3,3,3,3,5,7,2,8,10,6.4
3825,Female,2,19,440,4891,4,4,2,2,3,3,3,4,4,2,2,2,4,4,4,3,3,4,4,2,2,4,3,3,3,3,3,3,3,3,3,3,5,4,5,9,6,5.8
3921,Female,2,19,18293,12038,3,3,3,3,4,4,2,4,4,2,4,4,2,5,5,4,4,3,3,4,4,2,4,4,2,4,4,2,3,3,3,3.25,5,7,10,7,8,7.4
3796,Female,2,20,3487,7575,4,4,5,5,3,3,3,4,4,2,4,4,2,5,5,4,4,2,2,2,2,4,2,2,4,3,3,3,2,2,4,2.583333333,5,4,3,3,7,4.4
3826,Female,2,30,5250,7733,2,2,3,3,2,2,4,2,2,4,2,2,4,3,3,3,3,2,2,2,2,4,3,3,3,2,2,4,3,3,3,2.75,3,9,3,1,8,4.8
3990,Female,2,19,,,4,4,4,4,2,2,4,2,2,4,3,3,3,4,4,4,4,4,4,3,3,3,2,2,4,3,3,3,2,2,4,2.833333333,10,2,10,10,10,8.4
3960,Female,2,19,12806,5345,4,4,4,4,2,2,4,4,4,2,4,4,2,5,5,5,5,5,5,2,2,4,5,5,1,5,5,1,5,5,1,3.75,6,6,4,7,6,5.8
4000,Female,2,20,18114,7866,4,4,3,3,4,4,2,2,2,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,7,8,9,10,8
3955,Female,2,18,14174,6476,3,3,3,3,4,4,2,1,1,5,3,3,3,3,3,4,4,3,3,1,1,5,1,1,5,2,2,4,3,3,3,2.583333333,7,9,10,10,7,8.6
3969,Female,2,19,7348,23042,4,4,3,3,4,4,2,4,4,2,3,3,3,4,4,5,5,3,3,2,2,4,2,2,4,3,3,3,3,3,3,2.833333333,7,1,5,8,7,5.6
